titoloFile,dataReport,hrefFile,titoloPagina,url
Veneto,20200721,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Veneto_20200721.pdf,"Monitoraggio settimanale Covid-19, report dal 13 al 19 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4984
Abruzzo,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Abruzzo_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Basilicata,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Basilicata_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Calabria,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Calabria_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Campania,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Campania_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Emilia Romagna,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Emilia-Romagna_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Friuli Venezia Giulia,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Friuli-Venezia_Giulia_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Lazio,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lazio_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Liguria,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Liguria_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Lombardia,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lombardia_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Marche,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Marche_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Molise,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Molise_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
PA Bolzano,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Bolzano_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
PA Trento,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Trento_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Piemonte,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Piemonte_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Puglia,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Puglia_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Sardegna,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sardegna_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Sicilia,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sicilia_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Toscana,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Toscana_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Umbria,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Umbria_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Valle D'Aosta,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/ValledAosta_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Veneto,20200728,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Veneto_20200728.pdf,"Monitoraggio settimanale Covid-19, report 20-26 luglio",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4996
Abruzzo,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Abruzzo_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Basilicata,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Basilicata_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Calabria,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Calabria_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Campania,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Campania_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Emilia Romagna,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Emilia-Romagna_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Friuli Venezia Giulia,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Friuli-Venezia_Giulia_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Lazio,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lazio_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Liguria,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Liguria_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Lombardia,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lombardia_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Marche,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Marche_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Molise,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Molise_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
PA Bolzano,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Bolzano_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
PA Trento,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Trento_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Piemonte,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Piemonte_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Puglia,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Puglia_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Sardegna,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sardegna_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Sicilia,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sicilia_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Toscana,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Toscana_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Umbria,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Umbria_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Valle D'Aosta,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/ValledAosta_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Veneto,20200804,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Veneto_20200804.pdf,"Monitoraggio settimanale Covid-19, report 27 luglio - 02 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5011
Abruzzo,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Abruzzo_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Basilicata,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Basilicata_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Calabria,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Calabria_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Campania,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Campania_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Emilia Romagna,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Emilia-Romagna_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Friuli Venezia Giulia,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Friuli-Venezia_Giulia_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Lazio,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lazio_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Liguria,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Liguria_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Lombardia,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lombardia_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Marche,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Marche_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Molise,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Molise_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
PA Bolzano,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Bolzano_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
PA Trento,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/PA_Trento_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Piemonte,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Piemonte_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Puglia,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Puglia_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Sardegna,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sardegna_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Sicilia,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Sicilia_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Toscana,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Toscana_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Umbria,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Umbria_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Valle D'Aosta,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/ValledAosta_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Veneto,20200811,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Veneto_20200811.pdf,"Monitoraggio settimanale Covid-19, report 3-9 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5020
Abruzzo,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Abruzzo_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Basilicata,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Basilicata_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Calabria,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Calabria_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Campania,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Campania_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Emilia Romagna,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Emilia-Romagna_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Friuli Venezia Giulia,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Friuli-Venezia_Giulia_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Lazio,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lazio_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Liguria,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Liguria_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Lombardia,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Lombardia_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Marche,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Marche_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
Molise,20200818,http://www.salute.gov.it/portale/news/documenti/Epi_aggiornamenti/Molise_20200818.pdf,"Monitoraggio settimanale Covid-19, report 10-16 agosto",http://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5025
