"Regione","Provincia","Ente","Codice 
Ministero 
Interno","Codice BDAP","CUP","Target (mq 
rigenerati)","Finanziamento parziale","Costo 
complessivo","Quota co-
finanziata","Richiesta 
contributo","Di cui 
progettazione","Tipologia 
intervento 
(lettera)","Data Trasmissione 
Domanda","Ammesso/Non 
ammesso","Motivazione","IVSM (2018)"
"Sicilia","Catania","Aci Sant'Antonio","5190210050","482842928210538302","C53H19000170002","494","No","1.269.016,00","-","1.269.016,00","175.240,00","B","07/05/2021","Sì","-","103,8762902"
"Sicilia","Catania","Acireale","5190210040","826242930510359201","C44E21000150001","5.290","No","9.800.000,00","-","9.800.000,00","460.450,00","B","28/05/2021","Sì","-","103,4813849"
"Puglia","Bari","Acquaviva delle Fonti","4160090010","609542928176021402","C45F21000350001","7.500","No","5.000.000,00","-","5.000.000,00","203.008,00","B","01/06/2021","Sì","-","99,20756971"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B19J21002250001","6.300","No","819.500,00","-","819.500,00","74.391,00","B","03/06/2021","Sì","-","99,3292919"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B19J21002260001","3.860","No","600.000,00","-","600.000,00","69.541,00","B","03/06/2021","Sì","-","99,3292919"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B14E21002700001","995","No","1.500.000,00","-","1.500.000,00","259.352,00","B","03/06/2021","Sì","-","99,3292919"
"Piemonte","Alessandria","Acqui Terme","1010020010","668242930533365502","B14E21002690001","1.100","No","2.080.000,00","-","2.080.000,00","296.421,00","B","03/06/2021","Sì","-","99,3292919"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G23D21000680001","1.947","No","1.000.000,00","-","1.000.000,00","50.108,13","B","23/04/2021","Sì","-","99,71518026"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G23D21000690001","500","No","800.000,00","-","800.000,00","36.701,63","B","23/04/2021","Sì","-","99,71518026"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G29J21001000001","7.400","No","970.000,00","-","970.000,00","45.970,70","B","23/04/2021","Sì","-","99,71518026"
"Calabria","Cosenza","Acri","4180250030","546442930463560202","G23D21000700001","2.970","No","2.230.000,00","-","2.230.000,00","104.649,93","B","23/04/2021","Sì","-","99,71518026"
"Puglia","Bari","Adelfia","4160090020","405942930463724801","E59J21001400001","7.594","No","2.600.000,00","-","2.600.000,00","168.646,00","B","03/06/2021","Sì","-","100,2154266"
"Puglia","Bari","Adelfia","4160090020","405942930463724801","E59J21001390001","3.740","No","1.296.000,00","-","1.296.000,00","96.261,00","B","03/06/2021","Sì","-","100,2154266"
"Puglia","Bari","Adelfia","4160090020","405942930463724801","E59J21001380001","1.429","No","435.000,00","-","435.000,00","40.534,00","B","03/06/2021","Sì","-","100,2154266"
"Puglia","Bari","Adelfia","4160090020","405942930463724801","E59J21001360001","2.251","No","669.000,00","-","669.000,00","56.662,00","B","03/06/2021","Sì","-","100,2154266"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003650001","2.800","No","782.340,00","-","782.340,00","59.000,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003660001","7.150","No","1.436.390,00","-","1.436.390,00","136.630,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003670001","10.500","No","998.990,00","-","998.990,00","94.510,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003680001","5.000","No","922.040,00","-","922.040,00","87.100,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003690001","5.000","No","814.040,00","-","814.040,00","76.700,00","B","31/05/2021","Sì","-","110,2211"
"Veneto","Rovigo","Adria","2050710010","146142930463763601","F63D21003280001","8.000","No","1.000.000,00","-","1.000.000,00","75.000,00","C","04/06/2021","Sì","-","98,09251138"
"Veneto","Rovigo","Adria","2050710010","146142930463763601","F63D21003260001","22.000","No","3.000.000,00","-","3.000.000,00","230.000,00","C","04/06/2021","Sì","-","98,09251138"
"Veneto","Rovigo","Adria","2050710010","146142930463763601","F63D21003270001","70.000","No","1.000.000,00","-","1.000.000,00","65.000,00","B","04/06/2021","Sì","-","98,09251138"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21002000001","15.000","No","2.500.000,00","-","2.500.000,00","341.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21001990001","3.100","No","1.200.000,00","-","1.200.000,00","199.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21001970001","4.500","No","2.800.000,00","-","2.800.000,00","450.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21002010001","1.200","No","500.000,00","-","500.000,00","105.000,00","B","04/06/2021","Sì","-","119,2146977"
"Campania","Napoli","Afragola","4150510020","602142930463647002","B47H21001980001","5.800","No","1.250.000,00","-","1.250.000,00","208.000,00","B","04/06/2021","Sì","-","119,2146977"
"Toscana","Pistoia","Agliana","3090630020","141342930533725002","G23H18000240008","1.500","No","500.000,00","-","500.000,00","-","B","03/06/2021","Sì","-","99,07565888"
"Toscana","Pistoia","Agliana","3090630020","141342930533725002","G27H21001690001","3.000","No","180.000,00","-","180.000,00","10.000,00","B","03/06/2021","Sì","-","99,07565888"
"Toscana","Pistoia","Agliana","3090630020","141342930533725002","G22C21000280001","320","No","400.000,00","-","400.000,00","54.977,68","B","03/06/2021","Sì","-","99,07565888"
"Toscana","Pistoia","Agliana","3090630020","141342930533725002","G21B21001920004","-","Sì","1.314.165,00","514.503,33","799.661,67","19.652,52","B","03/06/2021","No","Richiesta non coerente con gli 
interventi previsti all'articolo 3, 
comma 1 del DPCM 21/01/2021","99,07565888"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G43D21001170001","12.743","No","1.916.403,00","-","1.916.403,00","122.403,00","B","04/06/2021","Sì","-","100,8483191"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G43D21001100001","6.711","No","1.602.629,00","-","1.602.629,00","116.628,93","B","04/06/2021","Sì","-","100,8483191"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G43D21001130001","13.235","No","1.199.292,00","-","1.199.292,00","98.292,23","B","04/06/2021","Sì","-","100,8483191"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G43D21001060001","23.900","No","2.524.076,00","-","2.524.076,00","202.132,00","C","04/06/2021","Sì","-","100,8483191"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G43D21001090001","8.635","No","1.086.425,00","-","1.086.425,00","96.176,15","B","04/06/2021","Sì","-","100,8483191"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G48I21000710001","5.000","No","10.000.000,00","-","10.000.000,00","700.000,00","B","04/06/2021","Sì","-","100,8483191"
"Sicilia","Agrigento","Agrigento","5190010010","464842928168330801","G43D21001180001","14.505","No","1.599.587,00","-","1.599.587,00","113.587,00","B","04/06/2021","Sì","-","100,8483191"
"Campania","Salerno","Agropoli","4150720020","484542928130607802","I89J21001040001","2.530","No","4.980.000,00","-","4.980.000,00","-","B","04/06/2021","Sì","-","103,0039358"
"Lazio","Frosinone","Alatri","3120330030","419742930510455002","G53D21001030001","14.000","No","319.701,94","-","319.701,94","26.400,25","A","04/06/2021","Sì","-","101,2922636"
"Lazio","Frosinone","Alatri","3120330030","419742930510455002","G53D21001020001","2.800","No","480.000,00","-","480.000,00","48.848,80","B","04/06/2021","Sì","-","101,2922636"
"Lazio","Frosinone","Alatri","3120330030","419742930510455002","G51B21002970001","13.000","No","3.413.798,06","-","3.413.798,06","411.585,89","A","04/06/2021","Sì","-","101,2922636"
"Lazio","Frosinone","Alatri","3120330030","419742930510455002","G53D21001040001","13.000","No","786.500,00","-","786.500,00","83.016,22","A","04/06/2021","Sì","-","101,2922636"
"Piemonte","Cuneo","Alba","1010270030","988842930532545401","B88I21000750004","1.000","No","720.000,00","-","720.000,00","49.300,00","B","04/06/2021","Sì","-","98,45793287"
"Piemonte","Cuneo","Alba","1010270030","988842930532545401","B89I20000520004","885","No","1.966.553,38","-","1.966.553,38","150.000,00","B","04/06/2021","Sì","-","98,45793287"
"Lazio","Roma","Albano Laziale","3120700030","673742930533903301","D14E21000650001","1.700","Sì","1.400.000,00","900.000,00","500.000,00","60.902,40","A","03/06/2021","Sì","-","101,3025488"
"Lazio","Roma","Albano Laziale","3120700030","673742930533903301","D17H21001660001","2.500","Sì","600.000,00","25.376,00","574.624,00","17.763,20","B","03/06/2021","Sì","-","101,3025488"
"Lazio","Roma","Albano Laziale","3120700030","673742930533903301","D17H21001740001","1.000","Sì","1.100.000,00","53.289,60","1.046.710,40","71.052,80","B","03/06/2021","Sì","-","101,3025488"
"Lazio","Roma","Albano Laziale","3120700030","673742930533903301","D17H21001650001","2.900","Sì","200.000,00","7.612,80","192.387,20","6.978,40","A","03/06/2021","Sì","-","101,3025488"
"Lazio","Roma","Albano Laziale","3120700030","673742930533903301","D11B21001780001","1.800","Sì","306.000,00","14.844,96","291.155,04","11.419,20","C","03/06/2021","Sì","-","101,3025488"
"Lazio","Roma","Albano Laziale","3120700030","673742930533903301","D17H21001750001","2.000","Sì","2.500.000,00","108.254,02","2.391.745,98","131.704,44","B","03/06/2021","Sì","-","101,3025488"
"Liguria","Savona","Albenga","1070740020","237442928235852702","F51B19000400005","9.166","No","600.000,00","-","600.000,00","66.494,05","C","25/05/2021","Sì","-","100,7534245"
"Veneto","Padova","Albignasego","2050540030","637842930510482502","D68B18000070004","1.950","Sì","4.000.000,00","425.000,00","3.575.000,00","138.646,60","B","27/05/2021","Sì","-","96,04630834"
"Sicilia","Trapani","Alcamo","5190820010","589242930509826302","I75C19000030006","54.493","No","4.350.000,00","-","4.350.000,00","456.721,96","B","31/05/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","100,3665946"
"Sicilia","Trapani","Alcamo","5190820010","589242930509826302","I77D18000220006","-","No","650.000,00","-","650.000,00","61.682,78","A","31/05/2021","No","Richiesta non coerente con gli 
interventi previsti all'articolo 3, 
comma 1 del DPCM 21/01/2021","100,3665946"
"Piemonte","Alessandria","Alessandria","1010020030","136842930509823702","I37H21001350001","18.150","No","10.000.000,00","-","10.000.000,00","388.269,56","B","27/05/2021","Sì","-","99,03151106"
"Sardegna","Sassari","Alghero","5200730030","955342928159200301","G19J20001070005","2.500","No","1.500.000,00","-","1.500.000,00","96.104,79","B","01/06/2021","Sì","-","98,59427689"
"Sardegna","Sassari","Alghero","5200730030","955342928159200301","G19I20000250005","1.696","Sì","3.170.102,45","44.737,77","3.125.364,68","238.601,37","B","01/06/2021","Sì","-","98,59427689"
"Piemonte","Torino","Alpignano","1010810080","915242930509816702","E71B21002310001","32.000","No","1.500.000,00","-","1.500.000,00","-","C","04/06/2021","Sì","-","98,0301088"
"Piemonte","Torino","Alpignano","1010810080","915242930509816702","E71B21002250001","1.472","No","3.200.000,00","-","3.200.000,00","-","A","04/06/2021","Sì","-","98,0301088"
"Puglia","Bari","Altamura","4160090040","502342930462673302","J73D21000530006","6.800","Sì","2.000.000,00","105.469,11","1.894.530,89","70.185,34","B","01/06/2021","Sì","-","102,3585334"
"Puglia","Bari","Altamura","4160090040","502342930462673302","J73D21000520001","10.000","Sì","2.800.000,00","122.264,20","2.677.735,80","110.628,40","B","01/06/2021","Sì","-","102,3585334"
"Puglia","Bari","Altamura","4160090040","502342930462673302","J73D21000840001","4.150","Sì","850.000,00","46.756,47","803.243,53","32.417,54","B","01/06/2021","Sì","-","102,3585334"
"Puglia","Bari","Altamura","4160090040","502342930462673302","J74B18000030002","2.300","Sì","1.400.000,00","110.405,27","1.289.594,73","74.751,86","A","01/06/2021","Sì","-","102,3585334"
"Toscana","Lucca","Altopascio","3090430010","233842930530354701","G83D21000950001","843","No","2.000.000,00","-","2.000.000,00","342.000,00","B","03/06/2021","Sì","-","100,6989408"
"Lazio","Frosinone","Anagni","3120330060","985742930534538501","F83D21001210001","5.000","No","5.000.000,00","-","5.000.000,00","500.000,00","B","01/06/2021","Sì","-","99,60696251"
"Marche","Ancona","Ancona","3110030020","316842930534404902","E35F21000330001","2.169","No","5.336.200,00","-","5.336.200,00","453.600,00","A","03/06/2021","Sì","-","99,21368307"
"Marche","Ancona","Ancona","3110030020","316842930534404902","E35F21000340005","5.600","Sì","7.200.000,00","2.600.000,00","4.600.000,00","400.000,00","B","03/06/2021","Sì","-","99,21368307"
"Marche","Ancona","Ancona","3110030020","316842930534404902","E35F21000350001","1.300","No","900.000,00","-","900.000,00","60.000,00","B","03/06/2021","Sì","-","99,21368307"
"Marche","Ancona","Ancona","3110030020","316842930534404902","E38I21000140001","4.380","No","6.000.000,00","-","6.000.000,00","200.000,00","A","03/06/2021","Sì","-","99,21368307"
"Marche","Ancona","Ancona","3110030020","316842930534404902","E35F21000320001","2.000","No","3.000.000,00","-","3.000.000,00","400.000,00","B","03/06/2021","Sì","-","99,21368307"
