"Regione","Provincia","Ente","Codice 
Ministero 
Interno","Codice BDAP","CUP","Target (mq 
rigenerati)","Finanziamento parziale","Costo 
complessivo","Quota co-
finanziata","Richiesta 
contributo","Di cui 
progettazione","Tipologia 
intervento 
(lettera)","Data Trasmissione 
Domanda","Ammesso/Non 
ammesso","Motivazione","IVSM (2018)"
"Campania","Napoli","Giugliano in Campania","4150510340","233342930543064402","G93D21002050005","8.000","Sì","2.000.000,00","59.082,16","1.940.917,84","49.863,84","B","03/06/2021","Sì","-","111,8296966"
"Campania","Napoli","Giugliano in Campania","4150510340","233342930543064402","G93D21002080005","24.000","Sì","4.089.705,60","106.628,00","3.983.077,60","88.816,00","B","03/06/2021","Sì","-","111,8296966"
"Campania","Napoli","Giugliano in Campania","4150510340","233342930543064402","G94E21001030005","1.500","Sì","760.000,00","33.184,00","726.816,00","24.107,20","B","03/06/2021","Sì","-","111,8296966"
"Campania","Napoli","Giugliano in Campania","4150510340","233342930543064402","G93D21002100005","1.500","Sì","2.200.000,00","59.462,80","2.140.537,20","55.954,08","B","03/06/2021","Sì","-","111,8296966"
"Campania","Napoli","Grumo Nevano","4150510360","437442930458940101","H25I20000030001","8.000","No","700.000,00","-","700.000,00","-","B","04/06/2021","Sì","-","111,2402028"
"Campania","Napoli","Grumo Nevano","4150510360","437442930458940101","H28I21002040001","28.285","No","3.300.000,00","-","3.300.000,00","25.651,46","B","04/06/2021","Sì","-","111,2402028"
"Campania","Napoli","Grumo Nevano","4150510360","437442930458940101","H29J21002640001","2.000","No","650.000,00","-","650.000,00","65.520,00","C","04/06/2021","Sì","-","111,2402028"
"Campania","Napoli","Napoli","4150510490","582842930527808601","B67H21001700001","6.432","No","4.000.000,00","-","4.000.000,00","205.442,48","B","03/06/2021","Sì","-","111,1705474"
"Campania","Napoli","Napoli","4150510490","582842930527808601","B63D21001890001","8.000","No","16.000.000,00","-","16.000.000,00","716.067,58","B","03/06/2021","Sì","-","111,1705474"
"Campania","Napoli","Torre Annunziata","4150510830","614642930460835202","G44E20002320001","5.850","No","2.029.780,99","-","2.029.780,99","166.174,74","B","03/06/2021","Sì","-","111,1332033"
"Campania","Napoli","Pozzuoli","4150510600","525642930457580101","B89J21004330001","31.700","No","9.973.558,51","-","9.973.558,51","502.444,80","B","04/06/2021","Sì","-","110,6999105"
"Campania","Napoli","Boscoreale","4150510080","342842930534602701","J14E21001790005","3.074","Sì","3.631.760,00","131.760,00","3.500.000,00","140.300,00","B","21/05/2021","Sì","-","110,6985045"
"Campania","Napoli","Boscoreale","4150510080","342842930534602701","J13D21001340001","28.065","Sì","1.548.800,00","48.800,00","1.500.000,00","39.040,00","A","21/05/2021","Sì","-","110,6985045"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003650001","2.800","No","782.340,00","-","782.340,00","59.000,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003660001","7.150","No","1.436.390,00","-","1.436.390,00","136.630,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003670001","10.500","No","998.990,00","-","998.990,00","94.510,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003680001","5.000","No","922.040,00","-","922.040,00","87.100,00","B","31/05/2021","Sì","-","110,2211"
"Sicilia","Catania","Adrano","5190210060","368642930533408402","J67H21003690001","5.000","No","814.040,00","-","814.040,00","76.700,00","B","31/05/2021","Sì","-","110,2211"
"Campania","Napoli","Mugnano di Napoli","4150510480","333242929703991002","F51B21000520001","2.321","Sì","4.932.103,04","100.000,00","4.832.103,04","122.000,00","A","19/05/2021","Sì","-","109,810002"
"Campania","Napoli","Marano di Napoli","4150510410","662742930474015002","G77H21000240001","5.000","No","7.204.088,33","-","7.204.088,33","621.708,00","A","04/06/2021","Sì, con riserva","Chiarimenti target a pena 
esclusione entro 10 gg da 
pubblicazione","109,7264926"
"Campania","Napoli","Quarto","4150510630","411342930458816501","G23D21001470001","11.837","No","5.000.000,00","-","5.000.000,00","253.760,00","A","04/06/2021","Sì","-","109,6500471"
"Campania","Caserta","Orta di Atella","4150200530","301542930528796002","D69J21004460001","1.190","No","205.000,00","-","205.000,00","16.000,00","A","31/05/2021","Sì","-","109,5454782"
"Campania","Caserta","Orta di Atella","4150200530","301542930528796002","D69J21004470001","9.250","No","229.000,00","-","229.000,00","15.000,00","A","31/05/2021","Sì","-","109,5454782"
"Campania","Caserta","Orta di Atella","4150200530","301542930528796002","D69J21004480001","1.530","No","366.845,00","-","366.845,00","30.000,00","A","31/05/2021","Sì","-","109,5454782"
"Campania","Caserta","Orta di Atella","4150200530","301542930528796002","D65F21000250001","2.530","No","2.199.155,00","-","2.199.155,00","207.340,95","B","31/05/2021","Sì","-","109,5454782"
"Campania","Caserta","Orta di Atella","4150200530","301542930528796002","D65F21000240001","22.250","No","2.000.000,00","-","2.000.000,00","102.550,00","B","31/05/2021","Sì","-","109,5454782"
"Campania","Napoli","Casalnuovo di Napoli","4150510170","715342930530796402","J19J21003680001","2.518","No","990.000,00","-","990.000,00","30.565,04","B","01/06/2021","Sì","-","109,4965383"
"Campania","Napoli","Casalnuovo di Napoli","4150510170","715342930530796402","J17H21000940001","7.890","No","600.000,00","-","600.000,00","18.079,46","A","01/06/2021","Sì","-","109,4965383"
"Campania","Napoli","Casalnuovo di Napoli","4150510170","715342930530796402","J19J21003690001","2.535","No","1.000.000,00","-","1.000.000,00","30.725,25","B","01/06/2021","Sì","-","109,4965383"
"Campania","Napoli","Casalnuovo di Napoli","4150510170","715342930530796402","J17H21000890001","7.500","No","450.000,00","-","450.000,00","-","B","01/06/2021","Sì","-","109,4965383"
"Campania","Napoli","Casalnuovo di Napoli","4150510170","715342930530796402","J17H21000930001","955","No","250.000,00","-","250.000,00","-","A","01/06/2021","Sì","-","109,4965383"
